Name,Layer,NUMMER,Position X,Position Y,Position Z
BefNr,PL01_BefundNr,9014,3490100.1551,5627345.3733,0.0000
BefNr,PL01_BefundNr,9017,3490105.7103,5627356.2685,0.0000
BefNr,PL01_BefundNr,9022,3490095.0443,5627335.9574,0.0000
BefNr,PL01_BefundNr,9022,3490092.2501,5627329.7991,0.0000
BefNr,PL01_BefundNr,9010,3490091.4836,5627338.2211,0.0000
BefNr,PL01_BefundNr,9007,3490078.6794,5627336.1858,0.0000
BefNr,PL01_BefundNr,9009,3490085.3654,5627342.7839,0.0000
BefNr,PL01_BefundNr,9008,3490082.7246,5627333.7460,0.0000
BefNr,PL01_BefundNr,9022,3490097.0792,5627338.6241,0.0000
BefNr,PL01_BefundNr,0,3490086.9112,5627388.9044,0.0000
BefNr,PL01_BefundNr,9012,3490092.0859,5627386.6487,0.0000
BefNr,PL01_BefundNr,9015,3490058.9004,5627302.1999,0.0000
BefNr,PL01_BefundNr,9017,3490101.6763,5627369.0604,0.0000
BefNr,PL01_BefundNr,0,3490089.2165,5627325.1070,0.0000
BefNr,PL01_BefundNr,9014,3490088.3435,5627320.9873,0.0000
BefNr,PL01_BefundNr,9016,3490092.2976,5627363.4389,0.0000
BefNr,PL01_BefundNr,9013,3490094.4205,5627404.5950,0.0000
BefNr,PL01_BefundNr,9006,3490068.1935,5627327.9365,0.0000
BefNr,PL01_BefundNr,9018,3490094.3518,5627312.8007,0.0000
BefNr,PL01_BefundNr,9021,3490074.9637,5627297.2942,0.0000
BefNr,PL01_BefundNr,0,3490090.2598,5627296.0630,0.0000
BefNr,PL01_BefundNr,9018,3490086.7663,5627299.8612,0.0000
BefNr,PL01_BefundNr,9,3490060.7917,5627317.0277,0.0000
BefNr,PL01_BefundNr,51,3490083.4560,5627398.4400,0.0000
BefNr,PL01_BefundNr,9031,3490055.3884,5627299.6190,0.0000
BefNr,grabungsgrenze,9001,3490055.2674,5627286.6948,0.0000
BefNr,PL01_BefundNr,0,3490081.6276,5627292.0023,0.0000
BefNr,PL01_BefundNr,9005,3490070.0590,5627320.8004,0.0000
BefNr,PL01_BefundNr,9002,3490069.2310,5627309.8436,0.0000
BefNr,PL01_BefundNr,9003,3490075.6428,5627312.4653,0.0000
BefNr,PL01_BefundNr,9004,3490075.7937,5627318.3920,0.0000
BefNr,PL01_BefundNr,9019,3490108.9019,5627341.7401,0.0000
BefNr,PL01_BefundNr,9019,3490100.5122,5627322.0496,0.0000
BefNr,PL01_BefundNr,9032,3490069.6903,5627305.8351,0.0000
BefNr,PL01_BefundNr,9003,3490070.9488,5627305.3915,0.0000
BefNr,PL02_BefundNr,9018,3490087.5623,5627300.5467,0.0000
